date,comp,round,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,fk,pk,pkatt,team
2024-02-24,Bundesliga,Matchweek 23,Home,D,1,1,Köln,2.2,0.7,74.0,13.0,5.0,1.0,0,0,Stuttgart
2024-03-02,Bundesliga,Matchweek 24,Away,W,3,2,Wolfsburg,1.1,0.8,58.0,6.0,2.0,0.0,1,1,Stuttgart
2024-03-08,Bundesliga,Matchweek 25,Home,W,2,0,Union Berlin,1.0,0.9,70.0,14.0,5.0,0.0,0,0,Stuttgart
2024-03-16,Bundesliga,Matchweek 26,Away,W,3,0,Hoffenheim,3.7,0.5,57.0,25.0,11.0,0.0,0,0,Stuttgart
2024-03-31,Bundesliga,Matchweek 27,Home,D,3,3,Heidenheim,3.0,1.3,72.0,20.0,6.0,0.0,0,0,Stuttgart
2024-04-06,Bundesliga,Matchweek 28,Away,W,1,0,Dortmund,1.6,2.5,49.0,10.0,2.0,0.0,0,0,Stuttgart
2024-04-13,Bundesliga,Matchweek 29,Home,W,3,0,Eint Frankfurt,1.2,0.6,54.0,9.0,6.0,0.0,0,0,Stuttgart
2024-04-21,Bundesliga,Matchweek 30,Away,L,1,2,Werder Bremen,2.2,1.5,69.0,15.0,5.0,1.0,0,0,Stuttgart
2024-04-27,Bundesliga,Matchweek 31,Away,D,2,2,Leverkusen,1.7,1.4,51.0,11.0,4.0,0.0,0,0,Stuttgart
2024-05-04,Bundesliga,Matchweek 32,Home,W,3,1,Bayern Munich,1.8,1.7,61.0,24.0,9.0,0.0,0,0,Stuttgart
2024-05-10,Bundesliga,Matchweek 33,Away,W,1,0,Augsburg,1.9,0.6,76.0,19.0,7.0,0.0,0,0,Stuttgart
2024-05-18,Bundesliga,Matchweek 34,Home,W,4,0,Gladbach,1.6,1.3,60.0,21.0,11.0,0.0,0,0,Stuttgart
2023-08-12,DFL-Supercup,DFL-Supercup,Home,L,0,3,RB Leipzig,,,67.0,13.0,5.0,,0,0,Bayern Munich
2023-08-18,Bundesliga,Matchweek 1,Away,W,4,0,Werder Bremen,2.8,0.6,72.0,25.0,10.0,1.0,0,0,Bayern Munich
2023-08-27,Bundesliga,Matchweek 2,Home,W,3,1,Augsburg,2.8,0.7,61.0,18.0,4.0,0.0,1,1,Bayern Munich
2023-09-02,Bundesliga,Matchweek 3,Away,W,2,1,Gladbach,2.4,0.3,65.0,25.0,7.0,0.0,0,0,Bayern Munich
2023-09-15,Bundesliga,Matchweek 4,Home,D,2,2,Leverkusen,2.1,2.1,51.0,16.0,9.0,0.0,0,0,Bayern Munich
